,id,campaign_id,coupon_id,customer_id,redemption_status,recency,history,used_discount,used_bogo,is_referral,channel,offer,conversion
0,1,13,27,1053,1,10,142.44,1,0,0,Phone,Buy One Get One,0
1,2,13,116,48,1,6,329.08,1,1,1,Web,No Offer,0
2,6,9,635,205,1,7,180.65,0,1,1,Web,Buy One Get One,0
3,7,13,644,1050,1,9,675.83,1,0,1,Web,Discount,0
4,9,8,1017,1489,1,2,45.34,1,0,0,Web,Buy One Get One,0
5,11,11,795,793,1,6,134.83,0,1,0,Phone,Buy One Get One,1
6,14,9,444,590,1,9,280.2,1,0,1,Phone,Buy One Get One,0
7,15,29,538,368,1,9,46.42,0,1,0,Phone,Buy One Get One,0
8,17,30,857,523,1,9,675.07,1,1,1,Phone,Discount,0
9,19,2,559,679,1,10,32.84,0,1,1,Web,Buy One Get One,0
10,20,9,575,108,1,7,548.91,0,1,1,Phone,Buy One Get One,1
11,21,13,1028,89,1,1,211.45,0,1,1,Phone,Buy One Get One,0
12,22,9,705,712,1,5,642.9,0,1,1,Multichannel,Buy One Get One,0
13,23,13,517,1067,1,2,101.64,0,1,0,Web,Discount,1
14,24,5,893,761,1,4,241.42,0,1,1,Multichannel,No Offer,0
15,25,13,796,248,1,3,58.13,1,0,1,Web,No Offer,1
16,26,11,506,1464,1,5,29.99,1,0,0,Phone,Discount,0
17,27,5,689,186,1,9,112.35,1,0,0,Web,Discount,0
18,28,13,268,1152,1,11,219.04,1,1,0,Phone,Discount,0
19,29,8,8,695,1,5,828.42,1,0,1,Multichannel,Discount,0
20,30,8,674,886,1,9,29.99,0,1,1,Phone,No Offer,0
21,32,30,320,1255,1,11,182.32,1,0,0,Phone,Discount,0
22,33,12,109,553,1,2,118.4,1,0,0,Web,Discount,1
23,34,8,278,1398,1,2,29.99,0,1,1,Phone,No Offer,0
24,35,13,1031,1031,1,4,78.24,1,0,0,Web,No Offer,0
25,39,26,326,63,1,6,139.87,0,1,1,Web,Discount,0
26,42,30,363,88,1,12,115.39,0,1,0,Phone,Discount,1
27,43,8,911,197,1,6,162.98,0,1,0,Web,Discount,0
28,45,8,383,1095,1,7,435.73,0,1,1,Web,No Offer,0
29,46,13,482,1096,1,2,203.35,1,0,0,Web,No Offer,0
30,48,26,813,919,1,2,237.53,0,1,0,Phone,Buy One Get One,0
31,51,13,118,917,1,9,334.24,1,0,0,Web,Discount,0
32,52,5,663,828,1,6,128.01,0,1,0,Web,Discount,0
33,54,30,332,958,1,9,29.99,1,0,1,Phone,Discount,0
34,55,30,500,91,1,3,29.99,1,0,0,Web,Buy One Get One,0
35,56,8,757,1447,1,4,218.72,0,1,0,Multichannel,Buy One Get One,0
36,58,30,1067,124,1,1,514.52,0,1,1,Web,Discount,0
37,61,8,87,661,1,4,766.47,1,1,1,Multichannel,Discount,0
38,62,26,905,648,1,10,63.79,1,0,1,Phone,Buy One Get One,0
39,63,13,1114,1381,1,7,520.43,0,1,1,Web,Discount,0
40,65,13,152,680,1,11,236.97,1,1,1,Phone,Discount,0
41,66,8,57,72,1,3,99.23,1,0,0,Web,Discount,1
42,69,8,383,883,1,9,204.18,0,1,0,Web,Buy One Get One,0
43,71,8,271,1366,1,2,492.02,1,0,0,Phone,No Offer,0
44,72,13,413,276,1,1,48.32,0,1,0,Web,No Offer,0
45,74,26,582,578,1,10,29.99,1,0,0,Phone,No Offer,0
46,75,30,333,895,1,2,391.33,1,0,0,Web,No Offer,0
47,77,13,485,861,1,1,729.7,1,1,1,Web,Discount,0
48,79,30,256,1383,1,3,134.59,1,0,1,Phone,Buy One Get One,1
49,80,11,980,1351,1,10,61.09,0,1,0,Web,Buy One Get One,0
50,82,29,538,1162,1,3,203.3,0,1,0,Web,No Offer,0
51,83,8,700,19,1,9,185.43,1,0,0,Web,Discount,0
52,84,2,628,384,1,7,29.99,0,1,1,Phone,Discount,0
53,85,13,136,200,1,9,78.62,1,0,0,Web,Discount,0
54,86,29,750,113,1,12,150.06,0,1,0,Phone,No Offer,0
55,88,26,854,1210,1,6,42.66,1,0,0,Web,No Offer,0
56,90,8,761,341,1,12,69.08,0,1,0,Phone,Buy One Get One,0
57,91,8,383,1475,1,3,549.29,1,0,1,Multichannel,No Offer,0
58,92,3,828,998,1,9,506.83,1,0,1,Multichannel,Discount,0
59,93,13,881,1418,1,3,143.93,0,1,0,Phone,Buy One Get One,0
60,95,13,129,1444,1,10,115.4,1,0,0,Phone,Discount,0
61,97,26,867,321,1,2,96.91,1,0,0,Phone,Buy One Get One,0
62,99,8,709,372,1,6,40.07,1,0,1,Phone,Discount,0
63,101,13,169,888,1,11,417.21,0,1,0,Phone,No Offer,0
64,102,8,8,659,1,9,61.57,1,0,1,Phone,Buy One Get One,0
65,103,30,1083,340,1,5,222.07,0,1,0,Phone,Buy One Get One,0
66,104,13,530,657,1,1,259.91,0,1,1,Web,No Offer,0
67,106,3,822,998,1,11,53.81,1,0,1,Phone,No Offer,0
68,107,13,126,590,1,9,154.15,0,1,0,Web,Discount,0
69,110,8,700,1044,1,10,1009.44,1,0,1,Multichannel,Buy One Get One,0
70,113,26,917,435,1,2,278.8,1,0,0,Web,Discount,0
71,115,12,109,416,1,10,31.12,1,0,0,Phone,Buy One Get One,0
72,117,13,22,741,1,2,428.74,1,0,0,Phone,Discount,0
73,118,13,960,572,1,7,612.28,1,0,1,Phone,Buy One Get One,0
74,121,13,24,1214,1,11,228.09,0,1,1,Web,No Offer,0
75,122,8,772,166,1,1,640.58,0,1,1,Phone,Discount,0
76,123,13,603,1152,1,4,194.11,1,0,0,Phone,No Offer,0
77,124,29,982,278,1,7,84.49,0,1,1,Web,No Offer,0
78,125,13,510,379,1,7,235.14,0,1,1,Phone,Discount,0
79,129,13,982,1005,1,2,29.99,0,1,0,Phone,Discount,0
80,130,13,132,1241,1,7,272.32,1,0,1,Web,Discount,0
81,131,8,60,1202,1,2,95.33,0,1,0,Web,No Offer,1
82,134,12,1063,1025,1,5,494.26,1,1,1,Phone,Discount,0
83,135,13,166,814,1,2,809.07,1,0,1,Phone,Discount,0
84,136,13,679,619,1,1,80.42,0,1,1,Phone,Buy One Get One,0
85,137,3,839,998,1,10,237.85,1,0,0,Web,Buy One Get One,0
86,139,4,459,15,1,2,82.59,1,0,0,Phone,Buy One Get One,0
87,141,8,658,638,1,6,165.77,0,1,0,Web,Buy One Get One,1
88,142,10,106,1582,1,3,101.61,0,1,1,Phone,No Offer,0
89,144,13,168,310,1,8,52.64,0,1,1,Web,No Offer,0
90,146,8,473,8,1,6,466.29,1,0,1,Multichannel,Discount,0
91,151,8,627,95,1,3,100.85,1,0,1,Phone,Discount,0
92,152,13,145,932,1,3,1397.57,1,0,1,Multichannel,Discount,0
93,154,8,7,1195,1,2,770.58,0,1,1,Phone,Discount,0
94,155,12,109,1232,1,3,1973.87,1,0,1,Multichannel,No Offer,0
95,156,13,667,1096,1,3,133.51,1,0,0,Web,Discount,0
96,158,30,924,1383,1,8,31.52,0,1,0,Web,Discount,0
97,159,29,621,569,1,1,47.44,0,1,0,Phone,Buy One Get One,0
98,160,8,761,640,1,1,106.27,0,1,0,Web,Buy One Get One,0
99,161,13,467,1003,1,11,215.46,0,1,0,Web,Buy One Get One,0
100,164,29,985,1029,1,11,189.25,0,1,1,Phone,No Offer,0
101,165,13,171,644,1,10,108.12,1,0,0,Web,Buy One Get One,0
102,167,13,1056,526,1,8,66.14,1,0,1,Phone,No Offer,0
103,169,13,890,745,1,8,98.56,1,0,1,Web,Buy One Get One,0
104,170,13,920,1136,1,6,129.14,1,0,0,Web,Buy One Get One,0
105,171,5,279,1491,1,2,493.17,0,1,0,Web,Buy One Get One,0
106,172,30,948,1534,1,11,146.04,0,1,1,Phone,Discount,0
107,176,8,383,80,1,12,29.99,0,1,1,Web,No Offer,0
108,179,26,368,1174,1,2,66.6,1,0,1,Phone,Buy One Get One,0
109,180,12,107,879,1,12,129.73,1,0,0,Web,Buy One Get One,0
110,181,9,19,608,1,4,54.41,0,1,1,Phone,Buy One Get One,0
111,182,9,19,755,1,9,1172.42,1,1,1,Web,Discount,0
112,183,29,800,1099,1,5,244.34,0,1,1,Web,Discount,0
113,184,13,420,1118,1,2,287.04,1,1,1,Phone,Buy One Get One,0
114,186,13,756,582,1,4,29.99,0,1,1,Web,Buy One Get One,0
115,187,12,783,686,1,9,151.01,1,0,0,Web,No Offer,0
116,188,7,687,441,1,11,35.43,1,0,1,Phone,Discount,0
117,192,11,913,666,1,5,84.17,1,0,1,Web,Buy One Get One,0
118,193,8,725,1233,1,3,313.6,0,1,0,Phone,No Offer,0
119,194,13,483,434,1,1,117.27,0,1,0,Phone,Discount,0
120,195,8,674,1369,1,5,29.99,0,1,0,Web,No Offer,0
121,196,13,275,1303,1,3,1167.93,1,1,1,Web,Buy One Get One,0
122,197,9,788,155,1,3,683.2,1,1,1,Multichannel,No Offer,0
123,198,13,170,736,1,1,110.07,0,1,0,Web,Discount,0
124,200,8,14,1410,1,1,102.94,1,0,0,Web,Buy One Get One,0
125,202,13,1083,607,1,2,29.99,0,1,0,Web,Discount,0
126,205,29,416,874,1,11,160.04,1,0,0,Web,Discount,0
127,206,5,689,44,1,1,418.68,0,1,0,Web,No Offer,0
128,207,8,54,1201,1,11,316.23,1,0,1,Phone,Discount,0
129,208,13,113,1306,1,12,253.06,0,1,0,Phone,Buy One Get One,0
